,athlete_id,firstName,lastName,weight,heightInches,dob
88,12552,Richard,Quinn,264,76,09-06-1986
89,12597,Brandon,Tate,195,73,10-05-1987
90,12669,Kevin,Huber,210,73,07-16-1985
91,12932,Dan,Skuta,269,74,04-21-1986
92,13274,Carlos,Dunlap,277,78,02-28-1989
93,13286,Taylor,Mays,225,75,02-07-1988
94,13341,John,Conner,245,71,06-08-1987
95,13756,Jeromy,Miles,211,74,07-20-1987
96,13766,Vincent,Rey,240,72,09-06-1987
97,13958,Andrew,Hawkins,180,67,03-10-1986
98,14131,Ryan,Whalen,200,73,07-26-1989
99,14304,Dane,Sanzenbacher,184,71,10-13-1988
100,14963,Devon,Still,305,77,07-11-1989
101,14965,Brandon,Thompson,315,74,10-19-1989
102,15041,Daniel,Herron,212,70,03-21-1989
103,15085,George,Iloka,227,76,03-31-1990
104,15365,Trevor,Robinson,300,77,05-16-1990
105,15713,Chris,Lewis-Harris,187,69,02-11-1989
106,1442,Charles,Woodson,210,73,10-07-1976
107,2577,Ryan,Pickett,340,74,10-08-1979
108,5432,Tramon,Williams,191,71,03-16-1983
109,8439,Aaron,Rodgers,223,74,12-02-1983
110,9591,A.J.,Hawk,240,73,01-06-1984
111,9638,Greg,Jennings,198,72,09-21-1983
112,10522,James,Jones,208,73,03-31-1984
113,11325,Jermichael,Finley,247,77,03-26-1987
114,11382,Josh,Sitton,320,75,06-16-1986
115,12438,Clay,Matthews,255,75,05-14-1986
116,12447,B.J.,Raji,337,74,07-11-1986
117,12675,Brad,Jones,242,75,04-01-1986
118,12680,T.J.,Lang,315,76,09-20-1987
119,12972,Evan,Smith,308,74,07-19-1986
120,13264,Morgan,Burnett,210,73,01-13-1989
121,13428,Marshall,Newhouse,330,76,09-29-1988
122,13491,C.J.,Wilson,323,75,03-30-1987
123,13769,Sam,Shields,178,71,12-08-1987
124,14053,Randall,Cobb,192,70,08-22-1990
125,14255,DuJuan,Harris,206,67,09-03-1988
126,15272,Dezman,Moses,249,74,01-04-1989
127,15409,Don,Barclay,305,76,04-18-1989
128,1966,Donald,Driver,194,72,02-02-1975
129,2055,Jeff,Saturday,295,74,06-08-1975
130,9475,Ryan,Grant,222,73,12-09-1982
131,9530,John,Kuhn,250,72,09-09-1982
132,10342,Jarrett,Bush,200,72,05-21-1984
133,10636,Mason,Crosby,212,73,09-03-1984
134,11229,Brett,Goode,255,73,11-02-1984
135,11270,Jordy,Nelson,217,75,05-31-1985
136,11401,Erik,Walden,250,74,08-21-1985
137,12475,Graham,Harrell,215,74,05-22-1985
138,12789,Rob,Francois,255,74,05-14-1985
139,12998,Tim,Masthay,200,73,03-16-1987
140,13102,Tom,Crabtree,245,76,11-04-1985
141,13214,James,Starks,218,74,02-25-1986
142,13291,Mike,Neal,262,75,06-26-1987
143,13779,Frank,Zombo,254,75,03-05-1987
144,14055,Alex,Green,220,72,06-23-1988
145,14157,Davon,House,195,72,07-10-1989
146,14158,D.J.,Williams,245,74,09-10-1988
147,14213,Ryan,Taylor,254,75,11-16-1987
148,14288,Jordan,Miller,316,73,02-01-1988
149,14500,Jeremy,Ross,215,72,03-16-1988
150,14530,M.D.,Jennings,187,72,07-25-1988
151,14597,Jamari,Lattimore,237,74,10-06-1988
152,14966,Casey,Hayward,192,71,09-09-1989
153,14967,Jerel,Worthy,300,74,04-28-1990
154,14994,Mike,Daniels,310,72,05-05-1989
155,15036,Jerron,McMillian,203,71,04-02-1989
156,15110,Terrell,Manning,237,74,04-16-1990
157,15358,Jarrett,Boykin,215,74,11-04-1989
158,15718,Greg,Van Roten,305,75,02-26-1990
159,1775,Antoine,Winfield,180,69,06-24-1977
160,4467,Kevin,Williams,311,77,08-16-1980
161,5554,Michael,Jenkins,214,76,06-18-1982
162,5651,Jared,Allen,255,78,04-03-1982
163,9603,Chad,Greenway,237,75,01-12-1983
164,9785,Charlie,Johnson,305,76,05-02-1984
165,10452,Adrian,Peterson,217,73,03-21-1985
166,10546,Brian,Robison,259,75,04-27-1983
167,11280,Jerome,Simpson,190,74,02-04-1986
168,11369,Jerome,Felton,248,72,07-03-1986
169,11386,Letroy,Guion,322,76,06-21-1987
170,11421,John,Sullivan,312,76,08-08-1985
171,11636,Erin,Henderson,244,75,07-01-1986
172,12615,Phil,Loadholt,343,80,01-21-1986
173,12721,Jamarca,Sanford,200,70,08-27-1985
174,13268,Chris,Cook,212,74,02-15-1987
175,13484,Joe,Webb,231,76,11-14-1986
176,13591,A.J.,Jefferson,190,73,04-04-1988
177,14054,Kyle,Rudolph,258,78,11-09-1989
178,14208,Brandon,Fusco,306,76,07-26-1988
179,14928,Matt,Kalil,315,79,07-06-1989
180,14945,Harrison,Smith,211,74,02-02-1989
181,6044,Cullen,Loeffler,247,77,01-27-1981
182,8621,Joe,Berger,305,77,05-25-1982
183,9296,Chris,Kluwe,210,76,12-24-1981
184,9798,Fred,Evans,305,76,11-06-1983
185,9819,Devin,Aromashodu,201,74,05-23-1984
186,10663,Marvin,Mitchell,249,75,10-21-1984
187,11272,John,Carlson,248,77,05-12-1984
188,11475,Geoff,Schwartz,340,78,07-11-1986
189,12451,Jasper,Brinkley,255,73,07-12-1985
190,12457,Tyrone,McKenzie,245,74,02-11-1985
191,12679,Troy,Kropog,295,78,07-31-1986
192,13211,Toby,Gerhart,235,72,03-28-1987
193,13373,Everson,Griffen,273,75,12-22-1987
194,13812,George,Johnson,265,76,12-11-1987
195,13843,Marcus,Sherels,175,70,09-30-1987
196,13939,Andrew,Sendejo,225,73,09-09-1987
197,13966,Christian,Ponder,230,74,02-25-1988
198,14075,D'Aundre,Reed,260,76,01-01-1988
199,14125,Christian,Ballard,283,76,01-03-1989
200,14132,Brandon,Burton,185,72,07-31-1989
201,14191,Mistral,Raymond,202,73,09-07-1987
202,14210,Stephen,Burton,221,73,12-11-1989
203,14360,Matt,Asiata,220,71,07-24-1987
204,14375,Larry,Dean,226,72,08-07-1988
205,14594,McLeod,Bethel-Thompson,236,75,07-03-1988
206,14918,Jarius,Wright,191,70,11-25-1989
207,14948,Josh,Robinson,200,70,01-08-1991
208,15003,Rhett,Ellison,255,77,10-03-1988
209,15023,Audie,Cole,248,77,06-01-1989
210,15058,Blair,Walsh,187,70,01-08-1990
211,15079,Robert,Blanton,200,73,09-07-1989
212,964,Ray,Lewis,240,73,05-15-1975
213,1562,Matt,Birk,310,76,07-23-1976
214,3535,Bryant,McKinnie,360,80,09-23-1979
215,3552,Ed,Reed,200,71,09-11-1978
216,4254,Ma'ake,Kemoeatu,345,77,01-10-1979
217,4468,Terrell,Suggs,265,75,10-11-1982
218,4512,Anquan,Boldin,220,73,10-03-1980
219,9598,Haloti,Ngata,340,76,01-21-1984
220,9640,Bernard,Pollard,226,73,12-23-1984
221,10530,Marshal,Yanda,305,75,09-15-1984
222,10611,Corey,Graham,196,72,07-25-1985
223,11252,Joe,Flacco,230,78,01-16-1985
224,11289,Ray,Rice,206,68,01-22-1987
225,11463,Cary,Williams,190,73,12-23-1984
226,12621,Michael,Oher,315,76,05-28-1986
227,13103,Dannell,Ellerbe,245,73,11-29-1985
228,13231,Dennis,Pitta,238,76,06-29-1985
229,13272,Ed,Dickson,250,76,07-25-1987
230,13394,Arthur,Jones,320,75,06-03-1986
231,14032,Torrey,Smith,205,72,01-26-1989
232,14957,Kelechi,Osemele,330,77,06-24-1989
233,14970,Courtney,Upshaw,272,74,12-13-1989
234,2192,Bobbie,Williams,345,76,09-25-1976
235,4703,Chris,Johnson,200,73,09-25-1979
236,4777,Brendon,Ayanbadejo,225,73,09-06-1976
237,6301,Vonta,Leach,260,72,11-06-1981
238,8516,Sean,Considine,212,72,12-17-1982
239,8663,Billy,Bajema,259,76,10-31-1982
240,9789,Sam,Koch,222,73,08-13-1982
241,10517,Jacoby,Jones,215,76,07-11-1984
242,10749,James,Ihedigbo,214,73,12-03-1983
243,12437,Paul,Kruger,270,76,02-15-1986
244,13267,Terrence,Cody,345,76,06-28-1988
245,13378,Ramon,Harewood,330,78,02-03-1987
246,13442,David,Reed,190,72,03-22-1987
247,13848,Morgan,Cox,233,76,04-26-1986
248,13851,Albert,McClellan,235,74,06-04-1986
249,13963,Jimmy,Smith,210,74,07-26-1988
250,13999,Jah,Reid,325,79,07-21-1988
251,14113,Chykie,Brown,191,71,12-26-1986
252,14163,Tyrod,Taylor,217,73,08-03-1989
253,14190,Tandon,Doss,205,74,09-22-1989
254,14202,Pernell,McPhee,265,75,12-17-1988
255,14212,Anthony,Allen,230,73,08-06-1988
256,14519,Josh,Bynes,235,73,08-24-1989
257,14529,Bryan,Hall,280,72,09-12-1988
258,14891,Bernard,Pierce,222,72,05-10-1991
259,14999,Gino,Gradkowski,300,75,11-05-1988
260,15059,DeAngelo,Tyson,315,74,04-12-1989
261,15396,Adrian,Hamilton,251,75,11-29-1987
262,15503,Deonte,Thompson,204,72,02-14-1989
263,15623,Omar,Brown,195,71,06-06-1988
264,15683,Justin,Tucker,183,73,11-21-1989
265,2578,Reggie,Wayne,203,72,11-17-1978
266,3539,Dwight,Freeney,268,73,02-19-1980
267,4524,Cory,Redding,318,76,11-15-1980
268,4596,Robert,Mathis,245,74,02-26-1981
269,9625,Winston,Justice,317,78,09-14-1984
270,9793,Antoine,Bethea,201,71,07-27-1984
271,10504,Samson,Satele,300,75,11-29-1984
272,10595,Antonio,Johnson,328,75,12-08-1984
273,11267,Donnie,Avery,200,71,06-12-1984
274,11343,Mike,McGlynn,325,76,03-08-1985
275,11533,Jerrell,Freeman,235,72,05-01-1986
276,12424,Vontae,Davis,207,71,05-27-1988
277,13258,Pat,Angerer,236,72,01-31-1987
278,13751,Jeffrey,Linkenbach,317,78,06-09-1987
279,13797,Cassius,Vaughn,195,71,11-03-1987
280,13970,Anthony,Castonzo,307,79,08-09-1988
281,14185,Lawrence,Guy Sr.,315,76,03-17-1990
282,14415,Joe,Young,204,72,06-02-1988
283,14874,Andrew,Luck,240,76,09-12-1989
284,14898,Vick,Ballard,217,71,07-16-1990
285,14900,Coby,Fleener,251,78,09-20-1988
286,14901,Dwayne,Allen,260,76,02-24-1990
287,1097,Adam,Vinatieri,212,72,12-28-1972
288,5644,Mewelde,Moore,209,71,07-24-1982
289,10487,Drew,Stanton,226,75,05-07-1984
290,11320,Tom,Zbikowski,200,71,05-22-1985
291,11377,Tony,Hills,304,77,11-04-1984
292,11842,Joe,Reitz,325,79,08-24-1985
293,12423,Darius,Butler,192,70,03-18-1986
294,12653,Moise,Fokou,243,73,08-28-1985
295,12689,Pat,McAfee,233,73,05-02-1987
296,12712,Seth,Olsen,305,77,12-17-1985
297,12726,A.Q.,Shipley,307,73,05-22-1986
298,13025,Jamaal,Westerman,257,74,02-21-1985
299,13186,Matt,Overton,254,73,07-06-1985
300,13245,Jerry,Hughes,254,74,08-31-1988
301,13342,Kavell,Conner,245,72,02-23-1987
302,13366,Clifton,Geathers,325,80,12-11-1987
303,13370,Josh,Gordy,196,71,02-09-1987
304,13398,Deji,Karim,209,68,11-11-1986
305,13411,Ricardo,Mathews,300,75,07-30-1987
306,13541,Sergio,Brown,207,74,05-22-1988
307,13836,Kellen,Heard,339,78,10-17-1985
308,13888,Martin,Tevaseu,325,74,10-07-1987
309,13922,Teddy,Williams,210,75,07-03-1988
310,14077,Delone,Carter,232,69,06-22-1987
311,14257,Mario,Harvey,264,72,08-10-1987
312,14306,Weslye,Saunders,261,77,01-16-1989
313,14924,T.Y.,Hilton,183,69,11-14-1989
314,15033,LaVon,Brazill,194,71,03-15-1989
315,15189,Nathan,Palmer,198,71,04-14-1989
316,15229,Delano,Howell,196,71,11-17-1989
317,15284,Bradley,Sowell,277,78,06-06-1989
318,1680,London,Fletcher,242,70,05-19-1975
319,5533,DeAngelo,Hall,200,70,11-19-1983
320,5581,Madieu,Williams,209,73,10-18-1981
321,9642,Chris,Chester,303,75,01-12-1983
322,9710,Barry,Cofield,303,76,03-19-1984
323,9759,Reed,Doughty,206,73,11-04-1982
324,9820,Will,Montgomery,304,75,02-13-1983
325,10361,Stephen,Bowen,300,77,03-28-1984
326,10499,Josh,Wilson,187,69,03-11-1985
327,11342,Kory,Lichtensteiger,295,74,03-22-1985
328,11408,Josh,Morgan,219,72,06-20-1985
329,11439,Pierre,Garcon,211,72,08-08-1986
330,11476,Rob,Jackson,259,76,11-03-1985
331,11572,Tyler,Polumbus,308,80,04-10-1985
332,13097,Darrel,Young,251,71,04-08-1987
333,13241,Trent,Williams,320,77,07-19-1988
334,13443,Perry,Riley Jr.,240,72,05-03-1988
335,13726,Logan,Paulsen,268,77,02-26-1987
336,13973,Ryan,Kerrigan,267,76,08-16-1988
337,14019,Jarvis,Jenkins,300,76,04-24-1988
338,14875,Robert,Griffin III,213,74,02-12-1990
339,15009,Alfred,Morris,222,70,12-12-1988
340,2564,Santana,Moss,193,70,06-01-1979
341,4480,Rex,Grossman,225,73,08-23-1980
342,4780,Brandon,Banks,155,67,12-21-1987
343,5606,Chris,Cooley,243,75,07-11-1982
344,9424,Lorenzo,Alexander,245,73,05-31-1983
345,9634,Cedric,Griffin,195,72,11-11-1982
346,9782,Kedric,Golston,330,76,05-30-1983
347,10441,Sav,Rocca,263,77,11-20-1973
348,10794,Chris,Wilson,243,76,07-10-1982
349,11360,Bryan,Kehl,243,74,06-16-1984
350,12760,Chris,Baker,320,74,10-08-1987
351,12904,Nick,Sundberg,254,73,07-29-1987
352,13227,Dezmon,Briscoe,210,74,08-31-1989
353,13290,Jerome,Murphy,200,72,01-13-1987
354,13427,Roddrick,Muckelroy,250,74,10-27-1986
355,13439,Jordan,Pugh,210,71,01-29-1988
356,13495,Doug,Worthington,318,77,08-10-1987
357,13727,Keiland,Williams,230,71,08-14-1986
358,14021,Leonard,Hankerson,211,74,01-30-1989
359,14078,Maurice,Hurt,329,75,11-08-1987
360,14105,Evan,Royster,207,72,11-26-1987
361,14156,Niles,Paul,242,73,08-09-1989
362,14164,Aldrick,Robinson,185,70,09-24-1988
363,14200,DeJon,Gomes,201,72,11-17-1989
364,14616,Vic,So'oto,263,75,08-19-1987
365,14816,Kai,Forbath,197,71,09-02-1987
366,14880,Kirk,Cousins,205,75,08-19-1988
367,14961,Josh,LeRibeus,310,74,07-02-1989
368,14995,Adam,Gettis,315,75,12-09-1988
369,15082,Tom,Compton,315,77,05-10-1989
370,15129,Richard,Crawford,192,71,08-01-1990
371,4864,Chris,Clemons,255,75,10-30-1981
372,8512,Leroy,Hill,238,73,09-14-1982
373,9250,Brandon,Browner,221,76,08-02-1984
374,9655,Paul,McQuistan,315,78,04-30-1983
375,9686,Michael,Robinson,240,73,02-06-1983
376,10456,Marshawn,Lynch,215,71,04-22-1986
377,10477,Alan,Branch,350,78,12-29-1984
378,10482,Zach,Miller,255,77,12-11-1985
379,10529,Brandon,Mebane,311,73,01-15-1985
380,11358,Red,Bryant,323,76,04-18-1984
381,11384,Breno,Giacomini,320,79,09-27-1985
382,12624,Max,Unger,305,77,04-14-1986
383,13242,Russell,Okung,310,77,10-07-1988
384,13251,Earl,Thomas III,220,70,05-07-1989
385,13336,Kam,Chancellor,225,75,04-03-1988
386,13414,Anthony,McCoy,259,77,12-28-1987
387,14086,Richard,Sherman,195,75,03-30-1988
388,14140,K.J.,Wright,246,76,07-23-1989
389,14221,Doug,Baldwin,192,70,09-21-1988
390,14881,Russell,Wilson,215,71,11-29-1988
391,14979,Bobby,Wagner,242,72,06-27-1990
392,15025,J.R.,Sweezy,310,77,04-08-1989
393,4469,Marcus,Trufant,197,71,12-25-1980
394,8577,Frank,Omiyale,315,76,11-23-1982
395,9359,Heath,Farwell,235,72,12-31-1981
396,9703,Leon,Washington,192,68,08-29-1982
397,10238,Jon,Ryan,217,72,11-26-1981
398,10488,Sidney,Rice,202,76,09-01-1986
399,11443,Matt,Flynn,225,74,06-20-1985
400,11923,Stephen,Hauschka,210,76,06-29-1985
401,12557,Deon,Butler,182,70,01-04-1986
402,12692,Clinton,McDonald,297,74,01-06-1987
403,13217,Golden,Tate,191,71,08-02-1988
404,13509,Lemuel,Jeanpierre,301,75,05-19-1987
405,13573,Clint,Gresham,240,75,08-24-1986
406,13697,Chris,Maragos,200,70,01-06-1987
407,14008,John,Moffitt,319,76,10-28-1986
408,14070,Mike,Person,305,76,06-17-1988
409,14103,Allen,Bradford,235,71,08-31-1988
410,14133,Byron,Maxwell,207,73,02-23-1988
411,14214,Malcolm,Smith,225,72,07-05-1989
412,14274,Jeron,Johnson,212,70,06-12-1988
413,14292,Mike,Morgan,235,75,01-16-1988
414,14894,Robert,Turbin,225,70,12-02-1989
415,14946,Bruce,Irvin,258,75,11-01-1987
416,15005,Jaye,Howard,314,75,12-20-1988
417,15073,Winston,Guy,220,73,04-23-1990
418,15087,Jeremy,Lane,190,72,07-14-1990
419,15120,Greg,Scruggs,277,75,08-17-1990
420,15419,DeShawn,Shead,216,74,06-28-1989
421,15428,Jermaine,Kearse,209,73,02-06-1990
422,15498,Rishaw,Johnson,313,75,02-23-1989
423,15515,Sean,McGrath,255,77,12-03-1987
424,1428,Peyton,Manning,230,77,03-24-1976
425,1448,Keith,Brooking,240,74,10-30-1975
426,1758,Champ,Bailey,192,72,06-22-1978
427,1858,Brandon,Stokley,194,72,06-23-1976
428,3667,Justin,Bannan,312,75,04-18-1979
429,4622,Dan,Koppen,300,74,09-12-1979
430,5893,Mike,Adams,205,71,03-24-1981
431,8612,Joel,Dreessen,245,76,07-26-1982
432,8630,Kevin,Vickerson,328,77,01-08-1983
433,9712,Elvis,Dumervil,250,71,01-19-1984
434,9747,Chris,Kuper,303,76,12-19-1982
435,11246,Ryan,Clady,315,78,09-06-1986
436,11609,Wesley,Woodyard,233,72,07-21-1986
437,12516,Knowshon,Moreno,218,71,07-16-1987
438,13216,Demaryius,Thomas,225,75,12-25-1987
439,13261,Zane,Beadles,305,76,11-19-1986
440,13271,Eric,Decker,214,75,03-15-1987
441,13976,Von,Miller,250,75,03-26-1989
442,13996,Orlando,Franklin,315,78,12-16-1987
443,14050,Rahim,Moore,200,73,02-11-1990
444,14398,Chris,Harris Jr.,190,70,06-18-1989
445,14964,Derek,Wolfe,285,77,02-24-1990
446,5542,D.J.,Williams,242,73,07-20-1982
447,9266,Jim,Leonhard,188,68,10-27-1982
448,10561,Manny,Ramirez,325,75,02-19-1983
449,10884,Matt,Willis,190,72,04-13-1984
450,11122,Matt,Prater,201,70,08-10-1984
451,11274,Tracy,Porter,200,71,08-11-1986
452,11303,Jacob,Hester,225,71,05-08-1985
453,11331,Andre,Caldwell,200,72,04-15-1985
454,11373,Jacob,Tamme,230,75,03-15-1985
455,11540,Caleb,Hanie,222,74,09-11-1985
456,11689,Chris,Clark,305,77,10-01-1985
457,11912,Lance,Ball,224,69,06-19-1985
458,12432,Robert,Ayers,275,75,09-06-1985
459,12638,David,Bruton Jr.,225,74,07-23-1987
460,12771,Tony,Carter,175,69,05-24-1986
461,12773,Britton,Colquitt,195,75,03-20-1985
462,12880,C.J.,Davis,308,74,02-02-1987
463,13386,Trindon,Holliday,165,65,04-27-1986
464,13574,Chris,Gronkowski,246,74,12-26-1986
465,13860,Mitch,Unrein,301,76,03-25-1987
466,14004,Nate,Irving,253,73,07-12-1988
467,14085,Virgil,Green,255,77,08-03-1988
468,14204,Julius,Thomas,262,77,06-27-1988
469,14441,Sealver,Siliga,345,74,04-26-1990
470,14879,Brock,Osweiler,240,79,11-22-1990
471,14895,Ronnie,Hillman,195,70,09-14-1991
472,14997,Omar,Bolden,195,70,12-20-1988
473,15047,Malik,Jackson,285,77,01-11-1990
474,15074,Danny,Trevathan,234,72,03-24-1990
475,15241,Aaron,Brewer,232,77,07-05-1990
476,15733,Steven,Johnson,237,73,03-28-1988
477,15081,Asa,Jackson,183,70,12-02-1989
478,1433,Randy,Moss,210,76,02-13-1977
479,2552,Justin,Smith,285,76,09-30-1979
480,3682,Jonathan,Goodwin,318,75,12-02-1978
481,8424,Carlos,Rogers,195,72,07-02-1981
482,8479,Frank,Gore,212,69,05-14-1983
483,9592,Vernon,Davis,248,75,01-31-1984
484,9594,Donte,Whitner,208,70,07-24-1985
485,10138,Ahmad,Brooks,259,75,03-14-1984
486,10455,Patrick,Willis,240,73,01-25-1985
487,10472,Joe,Staley,300,77,08-30-1984
488,10541,Ray,McDonald,290,75,09-02-1984
489,10569,Dashon,Goldson,200,74,05-21-1984
490,10590,Tarell,Brown,190,71,01-06-1985
491,12563,Michael,Crabtree,215,73,09-14-1987
492,12910,Alex,Boone,310,80,05-04-1987
493,13246,Mike,Iupati,331,77,05-12-1987
494,13253,Anthony,Davis,323,77,10-11-1989
495,13262,NaVorro,Bowman,242,72,05-28-1988
496,13988,Aldon,Smith,258,76,09-25-1989
497,14001,Colin,Kaepernick,230,76,11-03-1987
498,14044,Chris,Culliver,199,72,08-17-1988
499,14083,Bruce,Miller,248,74,08-06-1987
500,1716,David,Akers,200,70,12-09-1974
501,2268,Clark,Haggans,243,76,01-10-1977
502,2361,Brian,Jennings,242,77,10-14-1976
503,2550,Leonard,Davis,355,78,09-05-1978
504,4245,Billy,Cundiff,212,73,03-30-1980
505,5629,Isaac,Sopoaga,330,74,09-04-1981
506,5713,Andy,Lee,185,73,08-11-1982
507,8416,Alex,Smith,215,76,05-07-1984
508,9761,Delanie,Walker,248,74,08-12-1984
509,10453,Ted,Ginn Jr.,167,71,04-12-1985
510,11305,Tavares,Gooden,242,73,10-07-1984
511,11448,Larry,Grant,251,75,02-16-1985
512,12443,Ricky,Jean Francois,309,74,11-23-1986
513,12618,Darcel,McBath,198,73,10-28-1985
514,12903,C.J.,Spillman,199,72,05-06-1986
515,13212,Boobie,Dixon,233,73,09-24-1987
516,13344,Perrish,Cox,190,72,01-10-1987
517,13681,Tramaine,Brock,188,72,08-20-1988
518,13913,Will,Tukuafu,293,76,01-03-1984
519,14110,Daniel,Kilgore,291,75,12-18-1987
520,14353,Scott,Tolzien,215,74,09-04-1987
521,14461,Ian,Williams,305,73,08-31-1989
522,14859,Michael,Wilhoite,245,72,12-07-1986
523,14890,LaMike,James,200,69,10-22-1989
524,14947,A.J.,Jenkins,195,73,09-08-1989
525,15049,Trenton,Robinson,195,69,02-16-1990
526,15064,Cam,Johnson,272,76,05-24-1990
527,15108,Joe,Looney,309,75,08-31-1990
528,15204,Garrett,Celek,252,77,05-29-1988
529,15220,Jewel,Hampton,210,69,12-23-1989
530,15430,Tony,Jerod-Eddie,301,77,03-29-1990
531,1231,Tony,Gonzalez,247,77,02-27-1976
532,1990,Todd,McClure,296,73,02-16-1977
533,2144,John,Abraham,263,76,05-06-1978
534,4578,Asante,Samuel,185,70,01-06-1981
535,5535,Dunta,Robinson,183,70,04-11-1982
536,5679,Michael,Turner,247,70,02-13-1982
537,5954,Tyson,Clabo,315,78,10-17-1981
538,8442,Roddy,White,211,72,11-02-1981
539,8473,Jonathan,Babineaux,300,74,10-12-1981
540,10483,Justin,Blalock,326,76,12-20-1983
541,10553,Stephen,Nicholas,236,75,05-01-1983
542,11237,Matt,Ryan,220,76,05-17-1985
543,11255,Sam,Baker,301,77,05-30-1985
544,11332,Thomas,DeCoud,195,74,03-19-1985
545,12448,Vance,Walker,305,74,04-26-1987
546,12530,William,Moore,221,72,05-18-1985
547,13243,Sean,Weatherspoon,244,74,12-29-1987
